"order_id","customer_name","product_name","sales","profit","discount"
"CA-2016-108196","Cindy Stewart","Cubify CubeX 3D Printer Double Head Print","4499.99","-6599.98","0.7000"
"US-2017-168116","Grant Thornton","Cubify CubeX 3D Printer Triple Head Print","7999.98","-3839.99","0.5000"
"CA-2014-169019","Luke Foster","GBC DocuBind P400 Electric Binding System","2177.58","-3701.89","0.8000"
"CA-2017-134845","Sharelle Roach","Lexmark MX611dhe Monochrome Laser Printer","2549.99","-3399.98","0.7000"
"US-2017-122714","Henry Goldwyn","Ibico EPK-21 Electric Binding System","1889.99","-2929.48","0.8000"
"CA-2015-147830","Natalie Fritzler","Cubify CubeX 3D Printer Double Head Print","1799.99","-2639.99","0.7000"
"CA-2017-131254","Nathan Cano","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","1525.19","-2287.78","0.8000"
"CA-2015-116638","Joseph Holt","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","4297.64","-1862.31","0.4000"
"CA-2016-130946","Zuschuss Carroll","GBC DocuBind P400 Electric Binding System","1088.79","-1850.95","0.8000"
"CA-2014-145317","Sean Miller","Cisco TelePresence System EX90 Videoconferencing Unit","22638.48","-1811.08","0.5000"
"US-2015-150630","Tracy Blumstein","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","3083.43","-1665.05","0.5000"
"CA-2014-165309","Karen Daniels","GBC DocuBind TL300 Electric Binding System","896.99","-1480.03","0.8000"
"CA-2014-139892","Becky Martin","Lexmark MX611dhe Monochrome Laser Printer","8159.95","-1359.99","0.4000"
"US-2017-120390","Tracy Hopkins","GBC DocuBind P400 Electric Binding System","1633.19","-1306.55","0.7000"
"CA-2017-128363","Dan Campbell","GBC DocuBind TL300 Electric Binding System","1614.58","-1237.85","0.7000"
"CA-2015-140025","Peter Fuller","Hoover Upright Vacuum With Dirt Cup","463.25","-1181.28","0.8000"
"CA-2017-152093","Skye Norling","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","762.59","-1143.89","0.8000"
"US-2017-148551","David Bremer","GBC Ibimaster 500 Manual ProClick Binding System","760.98","-1141.47","0.8000"
"CA-2015-155600","Rose O'Brian","GBC Ibimaster 500 Manual ProClick Binding System","1598.06","-1065.37","0.7000"
"CA-2017-158379","Joseph Airdo","Martin Yale Chadless Opener Electric Letter Opener","4663.74","-1049.34","0.2000"
