"order_id","customer_name","product_name","sales","profit"
"CA-2016-118689","Tamara Chand","Canon imageCLASS 2200 Advanced Copier","17499.95","8399.98"
"CA-2017-140151","Raymond Buch","Canon imageCLASS 2200 Advanced Copier","13999.96","6719.98"
"CA-2017-166709","Hunter Lopez","Canon imageCLASS 2200 Advanced Copier","10499.97","5039.99"
"CA-2016-117121","Adrian Barton","GBC Ibimaster 500 Manual ProClick Binding System","9892.74","4946.37"
"CA-2014-116904","Sanjit Chand","Ibico EPK-21 Electric Binding System","9449.95","4630.48"
"CA-2017-127180","Tom Ashbrook","Canon imageCLASS 2200 Advanced Copier","11199.97","3919.99"
"CA-2015-145352","Christopher Martinez","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","6354.95","3177.48"
"CA-2016-158841","Sanjit Engle","HP Designjet T520 Inkjet Large Format Printer - 24' Color","8749.95","2799.98"
"US-2016-140158","Daniel Raglin","Hewlett Packard LaserJet 3310 Copier","5399.91","2591.96"
"CA-2017-138289","Andy Reiter","GBC DocuBind P400 Electric Binding System","5443.96","2504.22"
"US-2016-143819","Karen Daniels","Ativa V4110MDD Micro-Cut Shredder","4899.93","2400.97"
"US-2016-107440","Bill Shonely","3D Systems Cube Printer, 2nd Generation, Magenta","9099.93","2365.98"
"US-2015-128587","Harry Marie","Canon PC1060 Personal Laser Copier","4899.93","2302.97"
"CA-2014-145541","Tom Boeckenhauer","HP Designjet T520 Inkjet Large Format Printer - 24' Color","6999.96","2239.99"
"CA-2015-114811","Keith Dawkins","Zebra ZM400 Thermal Label Printer","4643.80","2229.02"
"CA-2014-164973","Nathan Mautz","Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier","3991.98","1995.99"
"CA-2017-135909","Jane Waco","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","5083.96","1906.49"
"CA-2015-120782","Shirley Daniels","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","3812.97","1906.49"
"CA-2017-165323","Steven Roelle","Hewlett-Packard Desktjet 6988DT Refurbished Printer","3404.50","1668.21"
"CA-2016-138478","Dennis Pardue","Ibico EPK-21 Electric Binding System","4535.98","1644.29"
