"customer_id","customer_name","segment","revenue","profit","profit_margin_pct"
"TC-20980","Tamara Chand","Corporate","19052.22","8981.32","47.14"
"RB-19360","Raymond Buch","Consumer","15117.35","6976.09","46.15"
"SC-20095","Sanjit Chand","Consumer","14142.34","5757.42","40.71"
"HL-15040","Hunter Lopez","Consumer","12873.30","5622.43","43.68"
"AB-10105","Adrian Barton","Consumer","14473.57","5444.81","37.62"
"TA-21385","Tom Ashbrook","Home Office","14595.62","4703.80","32.23"
"CM-12385","Christopher Martinez","Consumer","8954.01","3899.91","43.55"
"KD-16495","Keith Dawkins","Corporate","8181.24","3038.58","37.14"
"AR-10540","Andy Reiter","Consumer","6608.45","2884.61","43.65"
"DR-12940","Daniel Raglin","Home Office","8350.87","2869.08","34.36"
