"customer_id","customer_name","segment","total_orders","lifetime_revenue","lifetime_profit"
"EP-13915","Emily Phan","Consumer","17","5478.06","144.94"
"ZC-21910","Zuschuss Carroll","Consumer","13","8025.70","-1032.13"
"JE-15745","Joel Eaton","Consumer","13","6760.81","221.77"
"SH-19975","Sally Hughsby","Corporate","13","3406.86","558.45"
"CK-12205","Chloris Kastensmidt","Consumer","13","3154.83","141.25"
"PG-18820","Patrick Gardner","Consumer","13","3086.90","137.48"
"NS-18640","Noel Staavos","Corporate","13","2964.82","-234.76"
"EA-14035","Erin Ashbrook","Corporate","13","2846.71","-52.73"
"KL-16645","Ken Lonsdale","Consumer","12","14175.23","806.84"
"CL-12565","Clay Ludtke","Consumer","12","10880.56","1933.79"
