"customer_id","customer_name","segment","revenue","profit","profit_margin_pct"
"CS-12505","Cindy Stewart","Consumer","5690.07","-6626.37","-116.45"
"GT-14635","Grant Thornton","Corporate","9351.20","-4108.66","-43.94"
"LF-17185","Luke Foster","Consumer","3930.52","-3583.97","-91.18"
"SR-20425","Sharelle Roach","Home Office","3233.48","-3333.91","-103.11"
"HG-14965","Henry Goldwyn","Corporate","3247.65","-2797.95","-86.15"
"NC-18415","Nathan Cano","Consumer","2218.99","-2204.81","-99.36"
"SB-20290","Sean Braxton","Corporate","8057.89","-2082.75","-25.85"
"SM-20320","Sean Miller","Home Office","25043.07","-1980.75","-7.91"
"CP-12340","Christine Phan","Corporate","5888.30","-1850.31","-31.42"
"NF-18385","Natalie Fritzler","Consumer","8322.82","-1695.96","-20.38"
