"customer_id","customer_name","segment","revenue","orders"
"SM-20320","Sean Miller","Home Office","25043.07","5"
"TC-20980","Tamara Chand","Corporate","19052.22","5"
"RB-19360","Raymond Buch","Consumer","15117.35","6"
"TA-21385","Tom Ashbrook","Home Office","14595.62","4"
"AB-10105","Adrian Barton","Consumer","14473.57","10"
"KL-16645","Ken Lonsdale","Consumer","14175.23","12"
"SC-20095","Sanjit Chand","Consumer","14142.34","9"
"HL-15040","Hunter Lopez","Consumer","12873.30","6"
"SE-20110","Sanjit Engle","Consumer","12209.44","11"
"CC-12370","Christopher Conant","Consumer","12129.08","5"
